commit	phase	tok_per_s	mfu	correctness	compile_s	status	description
70c9144	2	1449.6	0.6	100.0	210.0	discard	int32 causal-mask position arithmetic (0.07% below int64 best)
f8062ea	2	1441.7	0.6	100.0	210.0	discard	remove production block-table clamp (0.61% below best)
c0480b7	2	1452.4	0.6	100.0	190.0	keep	remove redundant outer attention-scale wrapper (two runs: 1453.6, 1451.1; +0.12%)
9aa877d	2	1289.1	0.5	100.0	210.0	discard	construct attention rejection mask directly (compiler lowers equivalent form 11.24% slower)
6ff88d7	2	1449.5	0.6	100.0	220.0	discard	native int32 block-table gather indices (0.20% below int64 best)
4fb89ae	2	1450.3	0.6	100.0	190.5	discard	BF16 power-of-two query scaling (two runs: 1452.9, 1447.6; average below best)
9957409	2	1451.4	0.6	100.0	211.0	discard	direct prior-token scalar indexing (0.07% below reshape baseline)
f56e580	2	1446.1	0.6	100.0	220.0	discard	rank-3 GQA KV expand views (0.43% below repeat-interleave best)
fd93ee3	2	1444.3	0.6	100.0	220.0	discard	finite FP32 attention mask floor (0.55% below negative-infinity best)
7f0e09f	3	0.0	0.0	0.0	0.0	crash	fuse first TKG expert scaling into accumulator (fixed launcher rejects duplicate base/opt mount target)
e007d71	3	1448.6	0.6	100.0	230.0	discard	force HWDGE for dynamic TKG down weights (two runs: 1450.5, 1446.6; below Phase 2 best)
de828c2	3	1447.2	0.6	100.0	240.0	discard	force SWDGE for dynamic TKG down weights (compiler adaptive mode is faster)
9348299	3	0.0	0.0	0.0	101.0	crash	fuse first expert scale through custom dispatcher (NKI source resolver rejects dynamically defined helper)
9833344	3	1446.5	0.6	100.0	231.0	discard	statically traceable first-expert scale/accumulator fusion (0.41% below best)
fe7768d	3	1451.7	0.6	100.0	235.0	discard	reduce selective-expert SBUF interleave degree 8 to 4 (two clean runs: 1453.0, 1450.4; avg below best)
b238ff9	3	1430.1	0.6	100.0	241.0	discard	serialize selective-expert SBUF scope (1.54% below best; inter-expert overlap is valuable)
104e974	3	0.0	0.0	0.0	76.0	crash	fuse affinity into down-projection drain (selected column lost original partition stride when wrapped)
9831b4f	3	0.0	0.0	0.0	78.0	crash	preserve fused affinity stride (activation scale additionally requires explicit free dimension)
e2f6a11	3	1437.9	0.6	100.0	236.0	discard	fuse all expert affinity scales into down-projection drain (1.00% below best; harms engine interleave)
b7af6f5	3	0.0	0.0	0.0	247.0	crash	direct transpose into gather indices without clearing unused entries (runtime GPSIMD hang)
8b845d6	3	1449.8	0.6	100.0	230.0	discard	direct transpose into cleared gather index tile (0.18% below best)
5e0d9da	3	1446.7	0.6	100.0	235.0	discard	broadcast T=1 gathered affinities without alignment shuffle (0.39% below best)
0d3264e	3	1446.8	0.6	100.0	240.0	discard	drain TKG down projection on Vector engine (0.39% below best; loses Scalar/Vector overlap)
6ca210f	3	1443.3	0.6	100.0	235.0	discard	fuse scale and accumulate for experts 2-8 (0.63% below best; BF16 compiler schedules split ops better)
c67cfec	3	1454.0	0.6	100.0	230.0	keep	use six-way selective-expert SBUF interleave (two clean runs: 1454.6, 1453.4; +0.11%)
e1d0952	3	1447.5	0.6	100.0	235.0	discard	use seven-way selective-expert SBUF interleave (0.45% below six-way best)
3a8783d	3	1451.9	0.6	100.0	235.0	discard	use five-way selective-expert SBUF interleave (0.14% below six-way best)
01a1f4f	3	1451.5	0.6	100.0	235.0	discard	expand six-way selective-expert SBUF region to 207 KiB (0.17% below best)
843c372	3	1447.4	0.6	100.0	230.0	discard	tighten six-way selective-expert SBUF region to 196 KiB (0.45% below best)
d73bf1d	3	1450.2	0.6	100.0	241.0	discard	cap shared gate/up HTile at local H shard (0.26% below best; padded tile layout helps scheduling)
c5a156b	3	1447.7	0.6	100.0	235.0	discard	double-buffer padded shared gate/up weights (0.43% below best; extra SBUF cost dominates)
95a7d08	3	1448.5	0.6	100.0	235.0	discard	pair exact-size shared gate/up tiles (0.38% below best; separate ring slots still hurt)
478bede	3	1446.6	0.6	100.0	231.0	discard	pipeline shared gate/up over 512-wide H tiles (0.51% below best; loop/sync overhead dominates)
c3ffc74	3	1443.3	0.6	100.0	235.0	discard	fuse LHS/RHS gate-up cross-core exchange (0.74% below best; combined SBUF layout harms scheduling)
0e8c2c6	3	1451.4	0.6	100.0	231.0	discard	force HWDGE for expert quant metadata (0.18% below best; compiler-selected mode is better)
d5b207a	3	1448.4	0.6	100.0	230.0	discard	pack expert down outputs into one 3-D SBUF (0.39% below best; explicit aliasing hurts scheduling)
d8881ee	3	1447.3	0.6	100.0	230.0	discard	reuse resident expert scales directly in projections (0.46% below best; removed DMA boundaries hurt scheduling)
28222a2	3	1450.9	0.6	100.0	230.0	discard	expand six-way selective-expert SBUF region to 202 KiB (0.21% below best)
434db33	3	1450.6	0.6	100.0	235.0	discard	tighten six-way selective-expert SBUF region to 199 KiB (0.23% below best; 200 KiB remains local optimum)
109a989	3	1444.9	0.6	100.0	231.0	discard	split six-way expert scope before trailing two experts (0.63% below best; cross-group overlap is valuable)
29abc9d	3	1452.7	0.6	100.0	197.5	discard	fold POST_SCALE expert affinity into static down scale (two clean runs 1454.4/1451.0; avg 0.09% below best)
6993e32	3	1450.5	0.6	100.0	225.0	discard	reuse six down buffers across eight experts (0.24% below best; overwrite dependencies limit overlap)
b36a901	3	1451.6	0.6	100.0	231.0	discard	broadcast three expert weight scales together (0.17% below best; shared view aliasing offsets two fewer broadcasts)
1e9177e	3	1447.3	0.6	100.0	230.0	discard	force automatic selective-expert SBUF allocation (0.46% below best; manual addressing remains superior)
903b9fe	3	1444.4	0.6	100.0	265.0	discard	force HWDGE only for down metadata (0.66% below best; down requires compiler-selected mode)
9012ffd	3	1419.4	0.6	100.0	256.0	discard	force HWDGE only for gate-up metadata (2.38% below best; severe nonlinear scheduling regression)
72eb891	3	CRASH	-	-	-	discard	double-buffer split down projection tiles (invalid sizeinbytes import)
1e17f90	3	CRASH	-	-	-	discard	fix split down tile import (manual address query reached auto-allocation shapes)
96ea9fa	3	1440.8	0.6	100.0	245.0	discard	double-buffer 512-wide down tiles in manual mode (0.91% below best; extra loop/sync cost dominates)
eb1e6c1	3	1446.7	0.6	100.0	251.0	discard	batch three expert scale DMAs before broadcasts (0.50% below best; source dependency order harms scheduling)
83c5348	3	1434.3	0.6	100.0	251.0	discard	manage three expert scales in interleaved SBUF (1.35% below best; accounted temporaries reduce weight-pipeline freedom)
496af5e	3	1443.4	0.6	100.0	251.0	discard	allocate down outputs inside six-way expert scope (0.73% below best; independent eight-buffer addresses enable overlap)
c6faf35	3	1443.4	0.6	100.0	251.0	discard	separate gate-up intermediate buffers by expert (0.73% below best; shared tensor layout schedules better)
c5e7873	3	1438.8	0.6	100.0	245.0	discard	place down outputs before gate-up state in SBUF (1.05% below best; original address order avoids anti-dependencies)
1856757	3	1431.6	0.6	100.0	251.0	discard	skip trailing expert section increment (1.54% below best; final cursor advance is required for favorable layout)
946dfb3	3	1442.8	0.6	100.0	250.0	discard	rotate six-way expert section phase by one (0.77% below best; original phase is superior)
2248d33	3	1444.2	0.6	100.0	250.0	discard	advance expert section before affinity postprocess (0.67% below best; boundary increases anti-dependencies)
0002d24	3	1444.5	0.6	100.0	250.0	discard	batch gate and up scale DMA pair before broadcasts (0.65% below best; immediate broadcast ordering remains best)
77d2b7e	3	1439.7	0.6	100.0	250.0	discard	select combined expert gate-up weight view once (0.98% below best; reshaped layout harms dynamic DMA scheduling)
5f8e9a0	3	1435.9	0.6	100.0	255.0	discard	select combined expert gate-up scale view once (1.24% below best; shared dynamic view harms scheduling)
da65708	3	1445.3	0.6	100.0	250.0	discard	preserve 2-D affinity column shape during post-scale (0.60% below best; implicit scalar broadcast is better)
042482a	3	1436.9	0.6	100.0	250.0	discard	use three-way selective-expert SBUF interleave (1.18% below best; reduced overlap dominates extra tile space)
4911228	3	ABORT	-	-	-	discard	201 KiB selective-expert SBUF experiment interrupted before benchmark
3d98f38	full	CRASH	-	-	-	discard	repair full launch API; explicit 131072 decode bucket rejected because max_model_len is already implicit fallback
898a396	full	364.5	0.1	N/A	345.0	keep	FULL 128K baseline: TP8, 512-token segments, block64, implicit 131072 decode bucket; 42/42 turns passed, logits echo timed out
5e68f76	full	364.0	0.1	TOKEN_MATCH	441.0	discard	four scored-range decode buckets: 0.14% slower, cold start +27.8%; deterministic 126K output token matched baseline
c61d4b3	full	361.1	0.1	TOKEN_MISMATCH	430.0	discard	1024-token full prefill segments: 0.93% slower, cold start +24.6%; deterministic 126K token changed from '格' to space in three checks
f941469	full	345.0	0.1	TOKEN_MATCH	345.0	discard	128-token KV blocks: 5.35% slower from periodic 3000-turn/block misalignment recompute; deterministic 126K token matched baseline
f3e5fd8	full	364.6	0.1	TOKEN_MATCH	175.0	keep	FINAL VALIDATION (full model): restored 512-token segments/block64/implicit 128K decode; warm-cache startup, 42/42 turns, +0.03% vs cold baseline
4b55f0b	3	844.7	0.3	100.0	0.0	keep	MEDIUM BASELINE: 10×3000 tok, 32K ctx, current optimized state
7f1a98a	3	846.1	0.3	100.0	190.0	discard	pad K cache dma_transpose to 16-block alignment (0.17% above baseline, within noise)
block_size_256	821.3	100.0	DISCARD	block_size=256 worse than baseline 846.1 (-2.9%)
batched_tokens_1024	896.2	100.0	KEEP	MAX_NUM_BATCHED_TOKENS=1024, +5.9% over baseline 846.1
batched_tokens_2048	697.8	100.0	DISCARD	2048 much worse than 1024 (896.2)
batched_tokens_1024_bs128	899.5	100.0	KEEP	1024 bucket + block_size=128, +6.3% over baseline
ep_4	846.4	100.0	DISCARD	EP=4 no improvement vs baseline (846.1)
optlevel_3	899.1	100.0	DISCARD	no improvement vs optlevel 2 (899.5)
bpf_4	899.5	100.0	DISCARD	BLOCK_PARALLEL_FACTOR=4 no improvement vs 3
gqa_broadcast	3	1031.5	0.4	100.0	155.0	keep	GQA broadcast matmul avoids repeat_interleave KV expansion (two runs: 1031.6, 1031.5; +14.7%)
gqa_bf16_matmul	3	1124.5	0.4	100.0	155.0	keep	GQA broadcast + BF16 QK/PV matmuls with FP32 softmax (two runs: 1126.6, 1122.4; +25.0%)
bf16_softmax	1555.8	100.0	keep	+38.4% over prev; removed FP32 softmax cast, all-BF16 attention path
bf16_softmax_prescale_q	1611.8	100.0	keep	+3.6% over bf16_softmax; pre-scale Q eliminates 268M-elem multiply
rmsnorm_bf16	1613.4	100.0	keep	marginal gain; RMSNorm keeps hidden in BF16, only variance in FP32
rmsnorm_all_bf16	1626.0	100.0	keep	+0.8% over hybrid RMSNorm; all variance/rsqrt in BF16
nki_flash_attn	3	4071.1	1.6	100.0	256.0	keep	NKI flash_attention with k_prior/v_prior + gather-before-write reorder (two runs: 4058.8, 4083.4; +150.4% over PyTorch fallback)
full_nki_validation	full	1528.9	0.3	100.0	0.0	keep	FULL NKI VALIDATION (TP=8, 128K): 4.19x over baseline (364.5 tok/s), 42/42 turns, 100% correctness
model_len_opt	3	4266.3	1.7	100.0	0.0	keep	MAX_MODEL_LEN=30208 + O3 (two runs: 4258.5, 4274.1; +5.3% over 32K baseline, total +162% over PyTorch fallback)
final_full_val	full	1521.1	0.3	100.0	0.0	keep	FINAL FULL VALIDATION with O3: TP=8, 128K ctx, 42/42 turns, 100% correct (4.17x baseline)
phase3_final	3	4269.0	1.7	100.0	0.0	keep	Phase 3 final: medium benchmark cold-run confirmation (MAX_MODEL_LEN=30208, O3, 8K flash sections, _MAX_SEQLEN=132096)
full_val_final2	full	1533.2	0.3	100.0	211.0	keep	FULL MODEL FINAL: TP=8, 128K ctx, 42/42 turns, 100% correct, 4.21x baseline (364.5)
580d51e	3	4287.5	1.7	100.0	0.0	discard	BLOCK_PARALLEL_FACTOR=4 with 4096 bucket (avg 4287 vs 4350 baseline)
3072-bucket	2321.6	100.0	DISCARD	3072 non-power-of-2 bucket catastrophic for Neuron compute (47% regression vs 4350 baseline)
mac-threshold-100k	4310.1	100.0	DISCARD	modular-flow-mac-threshold=100000 no improvement vs 10 (4310 vs 4350)
O2-optimization	4303.0	100.0	DISCARD	O2 same as O1 (4303 vs 4350), compile 4x slower
2048-bucket	3908.9	100.0	DISCARD	2048 bucket needs 2 chunks for 3000 tokens (760ms vs 650ms for 4096)
moe-block-size-256	4455.8	100.0	KEEP	block_size=256 reduces MoE iterations, +2.4% over baseline
moe-block-size-512	4302.7	100.0	DISCARD	block_size=512 worse than 256 due to intra-block padding waste
fp8-kv-cache	0	0	DISCARD	FP8 KV cache fails: nisa.dma_transpose doesn't support f8E4M3 on trn2
gup-coalesce-4	4446.5	100.0	DISCARD	GUP_LOAD_COALESCE_FACTOR=4 no improvement over GCF=2 (4447 vs 4456)
fp8_moe_kernel_dequant	4408.3	100.0	DISCARD	FP8 expert weights + kernel dequant (slight regression, dma not bottleneck)
bpf4_bs256	3	4635.5	1.8	100.0	375.0	keep	BLOCK_PARALLEL_FACTOR=4 with block_size=256 (two runs: 4619.6, 4651.4; +4.0% over prev best 4455.8)
local_moe_allreduce	3	5175.4	2.0	100.0	315.0	keep	local MoE: skip all_gather, process T_local tokens, all_reduce output (two runs: 5167.8, 5183.0; +11.6% over BPF=4, +16.1% over prev best)
local_moe_bs128	3	5246.2	2.1	100.0	305.0	keep	block_size=128 with local MoE: halve tile-ops per block (two runs: 5211.6, 5280.8; +1.4% over block_size=256)
local_q_attn_cp	3	10393.1	4.1	N/A	195.0	discard	local Q attention + CP: incorrect (head-parallel O-proj requires reduce_scatter, not all_reduce; generates garbage output)
bpf6_bs128	3	10086.3	4.1	N/A	151.0	discard	BPF=6 tested on broken attention path; invalid result
O3_local_moe	3	5200.0	2.1	100.0	155.0	discard	O3 compiler with local MoE + block_size=128 (1.8% below O1 best 5296)
bpf8_bs128\t3\t4938.4\t1.9\t100.0\t211.0\tdiscard\tBPF=8 with block_size=128: 5.9% regression vs BPF=4 (too much SBUF overhead per iteration)
16k_section_len\t3\t5245.6\t2.1\t100.0\t190.0\tdiscard\t_FLASH_ATTENTION_SECTION_LENGTH=16K: no improvement (avg of 3 valid runs: 5278,5214,5245 vs baseline 5246)
enable_dge_deferred_write	3	4752.8	1.9	100.0	345.0	discard	--enable-dge + deferred cache write: 9.4% regression (DGE + reorder both harmful)
deferred_cache_write	3	4940.1	1.9	100.0	200.0	discard	deferred cache write alone: 5.8% regression (compiler prefers original write-before-attention order)
optlevel2_current\t3\t5129.7\t2.0\t100.0\t205.0\tdiscard\tO2 with current code: 2.2% regression vs O1 (5130 vs 5246)
q_grps_per_load_16\t3\t5103.9\t2.0\t100.0\t215.0\tdiscard\tnum_q_grps_per_load=16: 2.7% regression (increased SBUF pressure)
q_grps_per_load_4	3	4880.1	1.9	100.0	210.0	discard	num_q_grps_per_load=4: 7.0% regression (increased Q DMA overhead from smaller groups)
kv_block_size_128	3	4704.5	1.8	100.0	200.0	discard	KV cache block_size=128: 10.3% regression (larger blocks hurt compiler indexing efficiency)
mixed_precision_acc	3	5133.5	2.0	100.0	200.0	discard	--enable-mixed-precision-accumulation: 2.1% regression (numerical stability cost)
moe_block_256	3	4783.9	1.9	100.0	210.0	discard	MoE block_size=256: 8.8% regression (more padding waste with 128 experts×top8)
moe_n_block_per_iter_4	3	5117.9	2.0	100.0	200.0	discard	MoE n_block_per_iter=4: 2.4% regression (high variance, inconsistent)
moe_shard_on_i	3	0.0	0.0	0.0	120.0	crash	MoE shard_on_i implementation: graph break (incompatible with workload)
early_prior_gather	3	4613.4	1.8	100.0	200.0	discard	move k_prior gather before QKV: 12.0% regression (compiler schedules worse with reordered ops)
dist_strategy_llm_training	3	4982.1	2.0	100.0	200.0	discard	--distribution-strategy llm-training: 5.0% regression (not helpful for inference)
replicated_kv_bs2	3	5062.2	2.0	100.0	441.0	discard	replicate K/V to bs_kv=2 for LNC2: 3.5% regression (.contiguous() copy overhead > bank conflict savings)
section_len_4k	3	4770.3	1.9	100.0	201.0	discard	_FLASH_ATTENTION_SECTION_LENGTH=4K: 9.1% regression (more section overhead, more flash-attn corrections)
execute_repetition_48	3	4544.6	1.8	100.0	196.0	discard	--execute-repetition 48: 13.4% regression (compiler hint hurts scheduling)
enable_dge_alone	3	4902.3	1.9	100.0	200.0	discard	--enable-dge alone: 6.6% regression (dynamic execution overhead > tile-skip benefit)
no_model_type_transformer	3	5192.3	2.0	100.0	201.0	discard	remove --model-type transformer: 1.0% regression (transformer heuristics slightly help)
O3_current_code	3	4986.0	2.0	100.0	205.0	discard	O3 with current code: extreme variance (5277,5038,4643), avg 4986 = 5.0% regression
2026-08-09T19:05:00	GQA_KV_sharing_kernel	nkilib-fork/core/attention/attention_cte.py	5242	100.0	DISCARD	GQA K/V sharing in attention_cte - no improvement (5211/5243/5273 avg=5242 vs baseline 5246)
2026-08-09T19:17:00	MoE_block_size_64	model_bf16.py	FAIL	100.0	DISCARD	block_size=64 causes kernel shape assertion error (128,0)
2026-08-09T19:17:00	MoE_block_size_256	model_bf16.py	5196	100.0	DISCARD	block_size=256 regresses ~1% (padding waste with 1024 local tokens)
2026-08-09T19:28:00	optlevel_O2	config.env+serve_medium.bash	4844	100.0	DISCARD	O2 regresses 7.7% vs O1 (4844 vs 5246)
2026-08-09T19:35:00	section_length_16K	nkilib-fork/core/attention/attention_cte.py	4594	100.0	DISCARD	16K section length regresses 12.4% (SBUF pressure, worse pipelining)
2026-08-09T19:58:00	stochastic_rounding_off	serve_medium.bash	5094	100.0	DISCARD	NEURON_RT_STOCHASTIC_ROUNDING_EN=0 - no measurable impact (within variance)
2026-08-09T19:58:00	softmax_bf16	attention_cte.py wrapper	5103	100.0	DISCARD	softmax_dtype=bfloat16 - no speed improvement (DMA-bound, not compute-bound)
2026-08-10\tcp_dual_call_prior_split\t6864\t7397\t6549\t100.0\tContext Parallel: split k_prior across 4 TP ranks, dual-call (prior-only non-causal + active-only causal), online softmax reduction
2026-08-10\tcp_no_bounds\t8408\t8480\t6894\t100.0\tCP simplified: removed bound_min/bound_max from prior-only call, uses causal_mask=False directly
2026-08-10	local_q_cp	12503	13070	9696	100.0	Scheme 2: Local-Q (skip hidden all_gather, QKV on 1024 local tokens, all_gather KV only, cp_offset for active call, all_reduce O-proj)
